company_name,business_type,industry,products_services,capabilities,rating,reviews,verified,lead_time_days,moq,capacity,city,state,certifications,established_year,response_time_hours,website
Nova Raw 22,Raw Material Supplier,Furniture,"Steel Frame, Plywood, Foam","Chair, Table",4.9,372,No,4,100 kg,250 tons/month,Indore,Tamil Nadu,"FSSAI, CE, ISO 22000, RoHS",1998,8,https://company22.example.com
Core Raw 23,Raw Material Supplier,Nutraceutical,"Stevia, Creatine, Whey Protein Isolate 90%","Protein Powder, Mass Gainer",3.9,476,Yes,4,5000 units,100 tons/month,Hyderabad,Telangana,"ISO 22000, CE, WHO GMP",2015,12,https://company23.example.com
Prime Raw 24,Raw Material Supplier,Electronics,"Battery, OLED Display, PCB","Smartphone, Earbuds",4.7,544,Yes,19,25 kg,50 tons/month,Chennai,Tamil Nadu,"RoHS, Halal, CE",2011,1,https://company24.example.com
Prime Raw 25,Raw Material Supplier,Electronics,"Battery, PCB, OLED Display","Smartphone, Earbuds",4.5,13,Yes,26,500 kg,50 tons/month,Bengaluru,Telangana,"RoHS, ISO 22000, NABL, WHO GMP",2011,4,https://company25.example.com
Titan Raw 26,Raw Material Supplier,Electronics,"OLED Display, Battery, PCB","Smartphone, Earbuds",3.6,871,No,14,1000 kg,5000 pallets,Pune,Tamil Nadu,"ISO 9001, CE, WHO GMP, ISO 22000",2008,12,https://company26.example.com
Core Raw 27,Raw Material Supplier,Furniture,"Foam, Steel Frame, Plywood","Chair, Table",4.1,447,No,13,5000 units,50 tons/month,Pune,Karnataka,"RoHS, ISO 22000, Halal, Kosher",2016,4,https://company27.example.com
Prime Raw 28,Raw Material Supplier,Pharmaceutical,"Paracetamol API, Gelatin Capsules, MCC","Tablet, Capsule",3.8,983,Yes,32,500 kg,5000 pallets,Mumbai,Madhya Pradesh,"Halal, Kosher, FSSAI, ISO 22000",1999,24,https://company28.example.com
Nova Raw 29,Raw Material Supplier,Nutraceutical,"Whey Protein Isolate 90%, Stevia, Cocoa Powder","Protein Powder, Mass Gainer",4.6,1435,No,6,1000 kg,100 tons/month,Indore,Gujarat,"WHO GMP, Kosher, RoHS",2011,12,https://company29.example.com
Titan Raw 30,Raw Material Supplier,Furniture,"Steel Frame, Foam, Plywood","Chair, Table",4.1,335,No,31,250 kg,100 tons/month,Indore,Madhya Pradesh,"NABL, Kosher, RoHS",2002,4,https://company30.example.com
Ultra Raw 31,Raw Material Supplier,Electronics,"PCB, OLED Display, Battery","Smartphone, Earbuds",3.9,1116,Yes,11,100 kg,100 tons/month,Hyderabad,Madhya Pradesh,"FSSAI, ISO 22000",2008,8,https://company31.example.com
Prime Raw 32,Raw Material Supplier,Cosmetics,"Aloe Vera, Argan Oil, Shampoo Base","Shampoo, Face Wash",3.7,870,No,4,1000 kg,100000 units/month,Hyderabad,Gujarat,"CE, Halal, Kosher",2023,8,https://company32.example.com
Nova Raw 33,Raw Material Supplier,Furniture,"Foam, Plywood, Steel Frame","Chair, Table",3.8,1004,Yes,27,250 kg,100000 units/month,Bengaluru,Maharashtra,"WHO GMP, ISO 9001, FSSAI",2013,12,https://company33.example.com
Core Raw 34,Raw Material Supplier,Nutraceutical,"Whey Protein Isolate 90%, Stevia, Cocoa Powder","Protein Powder, Mass Gainer",3.7,542,No,23,100 kg,100000 units/month,Pune,Telangana,"CE, Halal, WHO GMP",2021,1,https://company34.example.com
Nova Raw 35,Raw Material Supplier,Electronics,"PCB, Battery, OLED Display","Smartphone, Earbuds",4.4,1344,Yes,4,100 kg,100 tons/month,Indore,Gujarat,"WHO GMP, FSSAI, ISO 22000, Kosher",2016,1,https://company35.example.com
Ultra Raw 36,Raw Material Supplier,Furniture,"Plywood, Steel Frame, Foam","Chair, Table",3.7,1253,Yes,13,250 kg,50 tons/month,Chennai,Gujarat,"Halal, NABL, RoHS",2001,1,https://company36.example.com
Elite Raw 37,Raw Material Supplier,Furniture,"Foam, Plywood, Steel Frame","Chair, Table",4.6,1411,Yes,5,250 kg,5000 pallets,Hyderabad,Madhya Pradesh,"ISO 22000, RoHS, ISO 9001",2022,8,https://company37.example.com
Elite Raw 38,Raw Material Supplier,Electronics,"PCB, OLED Display, Battery","Smartphone, Earbuds",4.7,951,Yes,30,100 kg,5000 pallets,Bengaluru,Telangana,"NABL, Kosher, FSSAI, Halal",2021,24,https://company38.example.com
Prime Raw 39,Raw Material Supplier,Furniture,"Steel Frame, Foam, Plywood","Chair, Table",3.8,933,Yes,32,1000 kg,5000 pallets,Bengaluru,Tamil Nadu,"ISO 9001, Kosher, Halal",2005,2,https://company39.example.com
Ultra Raw 40,Raw Material Supplier,Electronics,"PCB, OLED Display, Battery","Smartphone, Earbuds",3.8,1230,No,3,1000 kg,100 tons/month,Ahmedabad,Maharashtra,"Halal, Kosher, CE, ISO 22000",2017,8,https://company40.example.com
Ultra Raw 41,Raw Material Supplier,Electronics,"OLED Display, PCB, Battery","Smartphone, Earbuds",3.7,1426,Yes,22,5000 units,5000 pallets,Pune,Tamil Nadu,"NABL, RoHS, FSSAI, Kosher",2012,4,https://company41.example.com
Ultra Raw 42,Raw Material Supplier,Cosmetics,"Aloe Vera, Argan Oil, Shampoo Base","Shampoo, Face Wash",3.8,257,Yes,23,25 kg,5000 pallets,Indore,Madhya Pradesh,"FSSAI, NABL",2018,8,https://company42.example.com
Nova Raw 43,Raw Material Supplier,Cosmetics,"Aloe Vera, Argan Oil, Shampoo Base","Shampoo, Face Wash",3.8,749,Yes,22,25 kg,5000 pallets,Mumbai,Telangana,"ISO 9001, CE",2017,2,https://company43.example.com
Core Raw 44,Raw Material Supplier,Electronics,"PCB, Battery, OLED Display","Smartphone, Earbuds",4.1,707,Yes,6,250 kg,100000 units/month,Ahmedabad,Gujarat,"Kosher, ISO 22000, CE",2015,24,https://company44.example.com
Ultra Raw 45,Raw Material Supplier,Nutraceutical,"Creatine, Cocoa Powder, BCAA","Protein Powder, Mass Gainer",3.5,518,Yes,29,1000 kg,5000 pallets,Indore,Karnataka,"NABL, Halal",2009,8,https://company45.example.com
Titan Raw 46,Raw Material Supplier,Cosmetics,"Aloe Vera, Argan Oil, Shampoo Base","Shampoo, Face Wash",4.3,1258,Yes,16,5000 units,100 tons/month,Pune,Madhya Pradesh,"WHO GMP, FSSAI",2000,12,https://company46.example.com
Core Raw 47,Raw Material Supplier,Nutraceutical,"Creatine, Whey Protein Isolate 90%, Cocoa Powder","Protein Powder, Mass Gainer",4.4,972,No,5,100 kg,250 tons/month,Bengaluru,Telangana,"Kosher, ISO 22000, RoHS, NABL",2024,4,https://company47.example.com
Prime Raw 48,Raw Material Supplier,Furniture,"Foam, Plywood, Steel Frame","Chair, Table",4.2,1336,Yes,20,100 kg,50 tons/month,Ahmedabad,Maharashtra,"CE, Kosher, ISO 9001",2009,24,https://company48.example.com
Titan Raw 49,Raw Material Supplier,Cosmetics,"Aloe Vera, Argan Oil, Shampoo Base","Shampoo, Face Wash",4.2,906,Yes,5,500 kg,250 tons/month,Chennai,Telangana,"ISO 22000, FSSAI",2016,12,https://company49.example.com
Nova Raw 50,Raw Material Supplier,Furniture,"Plywood, Steel Frame, Foam","Chair, Table",4.1,1344,No,20,100 kg,5000 pallets,Hyderabad,Madhya Pradesh,"ISO 22000, Kosher, WHO GMP",2008,4,https://company50.example.com
Ultra Raw 51,Raw Material Supplier,Cosmetics,"Aloe Vera, Shampoo Base, Argan Oil","Shampoo, Face Wash",4.0,1024,No,28,1000 kg,50 tons/month,Hyderabad,Gujarat,"CE, RoHS, ISO 9001",2019,8,https://company51.example.com
Prime Raw 52,Raw Material Supplier,Furniture,"Plywood, Steel Frame, Foam","Chair, Table",3.7,750,No,31,25 kg,100 tons/month,Pune,Karnataka,"CE, Kosher",2023,24,https://company52.example.com
Elite Raw 53,Raw Material Supplier,Electronics,"PCB, Battery, OLED Display","Smartphone, Earbuds",3.6,1138,Yes,29,25 kg,100 tons/month,Indore,Gujarat,"ISO 22000, WHO GMP, FSSAI",2024,24,https://company53.example.com
Core Raw 54,Raw Material Supplier,Cosmetics,"Aloe Vera, Argan Oil, Shampoo Base","Shampoo, Face Wash",4.9,509,No,12,500 kg,100 tons/month,Chennai,Karnataka,"WHO GMP, ISO 22000, NABL, FSSAI",2005,12,https://company54.example.com
Titan Raw 55,Raw Material Supplier,Cosmetics,"Shampoo Base, Argan Oil, Aloe Vera","Shampoo, Face Wash",4.3,1361,No,12,500 kg,5000 pallets,Hyderabad,Telangana,"NABL, Halal, FSSAI",2024,4,https://company55.example.com
Nova Raw 56,Raw Material Supplier,Pharmaceutical,"Gelatin Capsules, Paracetamol API, MCC","Tablet, Capsule",4.7,851,Yes,23,5000 units,100000 units/month,Bengaluru,Tamil Nadu,"WHO GMP, Kosher, ISO 9001",1999,12,https://company56.example.com
Prime Raw 57,Raw Material Supplier,Furniture,"Steel Frame, Plywood, Foam","Chair, Table",4.2,945,Yes,12,500 kg,100 tons/month,Ahmedabad,Tamil Nadu,"RoHS, Halal, NABL",1997,4,https://company57.example.com
Titan Raw 58,Raw Material Supplier,Furniture,"Steel Frame, Foam, Plywood","Chair, Table",3.5,150,Yes,21,100 kg,50 tons/month,Hyderabad,Gujarat,"ISO 22000, Kosher, NABL, RoHS",2004,1,https://company58.example.com
Ultra Raw 59,Raw Material Supplier,Nutraceutical,"BCAA, Whey Protein Isolate 90%, Creatine","Protein Powder, Mass Gainer",4.0,308,Yes,29,1000 kg,100 tons/month,Mumbai,Maharashtra,"Halal, FSSAI",2010,12,https://company59.example.com
Core Raw 60,Raw Material Supplier,Pharmaceutical,"Paracetamol API, MCC, Gelatin Capsules","Tablet, Capsule",3.8,29,No,21,5000 units,5000 pallets,Mumbai,Gujarat,"RoHS, CE, NABL",2008,24,https://company60.example.com
Core Raw 61,Raw Material Supplier,Cosmetics,"Argan Oil, Aloe Vera, Shampoo Base","Shampoo, Face Wash",4.7,228,Yes,27,1000 kg,250 tons/month,Chennai,Telangana,"CE, ISO 9001, Halal, RoHS",2007,4,https://company61.example.com
Elite Raw 62,Raw Material Supplier,Nutraceutical,"Cocoa Powder, Whey Protein Isolate 90%, BCAA","Protein Powder, Mass Gainer",4.1,596,Yes,25,100 kg,100 tons/month,Chennai,Telangana,"WHO GMP, ISO 22000, RoHS, Halal",1996,4,https://company62.example.com
Prime Raw 63,Raw Material Supplier,Electronics,"PCB, OLED Display, Battery","Smartphone, Earbuds",4.8,679,No,14,100 kg,100 tons/month,Indore,Karnataka,"NABL, CE, Halal",2000,4,https://company63.example.com
Core Raw 64,Raw Material Supplier,Electronics,"OLED Display, Battery, PCB","Smartphone, Earbuds",4.8,298,Yes,28,1000 kg,250 tons/month,Ahmedabad,Tamil Nadu,"CE, ISO 22000",2009,4,https://company64.example.com
Prime Raw 65,Raw Material Supplier,Cosmetics,"Aloe Vera, Argan Oil, Shampoo Base","Shampoo, Face Wash",4.4,975,Yes,23,1000 kg,100 tons/month,Bengaluru,Gujarat,"Kosher, CE, RoHS, FSSAI",1998,2,https://company65.example.com
Prime Raw 66,Raw Material Supplier,Nutraceutical,"Whey Protein Isolate 90%, BCAA, Creatine","Protein Powder, Mass Gainer",3.5,1110,Yes,27,500 kg,250 tons/month,Bengaluru,Madhya Pradesh,"NABL, Halal, CE, RoHS",2018,2,https://company66.example.com
Titan Raw 67,Raw Material Supplier,Electronics,"Battery, PCB, OLED Display","Smartphone, Earbuds",4.0,582,Yes,26,100 kg,100000 units/month,Hyderabad,Maharashtra,"ISO 22000, RoHS, CE",2023,24,https://company67.example.com
Nova Raw 68,Raw Material Supplier,Cosmetics,"Shampoo Base, Argan Oil, Aloe Vera","Shampoo, Face Wash",4.9,941,Yes,16,5000 units,5000 pallets,Ahmedabad,Gujarat,"FSSAI, WHO GMP, Halal",2013,2,https://company68.example.com
Nova Raw 69,Raw Material Supplier,Nutraceutical,"Cocoa Powder, Creatine, BCAA","Protein Powder, Mass Gainer",4.6,487,No,12,1000 kg,50 tons/month,Pune,Maharashtra,"NABL, CE",2020,2,https://company69.example.com
Ultra Raw 70,Raw Material Supplier,Nutraceutical,"Whey Protein Isolate 90%, Creatine, Cocoa Powder","Protein Powder, Mass Gainer",4.6,497,No,4,100 kg,250 tons/month,Ahmedabad,Maharashtra,"Halal, ISO 22000, RoHS, ISO 9001",2010,8,https://company70.example.com
Titan Contract 71,Contract Manufacturer,Cosmetics,"Aloe Vera, Shampoo Base, Argan Oil","Shampoo, Face Wash",3.7,1269,Yes,22,500 kg,50 tons/month,Ahmedabad,Tamil Nadu,"Halal, ISO 22000, FSSAI",2017,8,https://company71.example.com
Nova Contract 72,Contract Manufacturer,Nutraceutical,"Whey Protein Isolate 90%, BCAA, Stevia","Protein Powder, Mass Gainer",3.5,573,No,27,1000 kg,5000 pallets,Pune,Tamil Nadu,"Halal, ISO 22000, NABL, RoHS",1998,24,https://company72.example.com
Core Contract 73,Contract Manufacturer,Furniture,"Foam, Plywood, Steel Frame","Chair, Table",4.7,857,No,32,500 kg,100000 units/month,Bengaluru,Gujarat,"Halal, RoHS, Kosher",2003,4,https://company73.example.com
Prime Contract 74,Contract Manufacturer,Pharmaceutical,"Gelatin Capsules, MCC, Paracetamol API","Tablet, Capsule",4.6,200,No,9,5000 units,250 tons/month,Indore,Maharashtra,"ISO 9001, RoHS, Kosher, NABL",2008,4,https://company74.example.com
Titan Contract 75,Contract Manufacturer,Electronics,"Battery, PCB, OLED Display","Smartphone, Earbuds",3.9,222,Yes,12,5000 units,100000 units/month,Mumbai,Gujarat,"NABL, RoHS, ISO 9001",2019,4,https://company75.example.com
Titan Contract 76,Contract Manufacturer,Furniture,"Plywood, Steel Frame, Foam","Chair, Table",4.8,1430,No,4,100 kg,250 tons/month,Bengaluru,Telangana,"RoHS, ISO 9001, ISO 22000",2022,2,https://company76.example.com
Nova Contract 77,Contract Manufacturer,Furniture,"Foam, Steel Frame, Plywood","Chair, Table",4.5,72,Yes,16,500 kg,100000 units/month,Hyderabad,Telangana,"RoHS, CE",2018,4,https://company77.example.com
Nova Contract 78,Contract Manufacturer,Furniture,"Foam, Plywood, Steel Frame","Chair, Table",3.6,1275,Yes,8,250 kg,100000 units/month,Bengaluru,Tamil Nadu,"Kosher, Halal, WHO GMP",2001,12,https://company78.example.com
Ultra Contract 79,Contract Manufacturer,Nutraceutical,"BCAA, Stevia, Whey Protein Isolate 90%","Protein Powder, Mass Gainer",4.4,1224,No,22,25 kg,100 tons/month,Hyderabad,Karnataka,"ISO 9001, FSSAI",2004,2,https://company79.example.com
Prime Contract 80,Contract Manufacturer,Pharmaceutical,"MCC, Gelatin Capsules, Paracetamol API","Tablet, Capsule",3.4,891,Yes,11,500 kg,5000 pallets,Bengaluru,Maharashtra,"NABL, RoHS, ISO 9001, FSSAI",2022,24,https://company80.example.com
Prime Contract 81,Contract Manufacturer,Nutraceutical,"Stevia, Whey Protein Isolate 90%, Creatine","Protein Powder, Mass Gainer",4.7,1189,No,28,5000 units,100000 units/month,Pune,Gujarat,"ISO 9001, RoHS, ISO 22000",2020,12,https://company81.example.com
Core Contract 82,Contract Manufacturer,Electronics,"Battery, OLED Display, PCB","Smartphone, Earbuds",4.7,508,No,28,1000 kg,50 tons/month,Hyderabad,Telangana,"RoHS, FSSAI, WHO GMP, ISO 22000",1997,12,https://company82.example.com
Ultra Contract 83,Contract Manufacturer,Nutraceutical,"Cocoa Powder, Creatine, Stevia","Protein Powder, Mass Gainer",4.5,1331,Yes,18,25 kg,100 tons/month,Pune,Maharashtra,"WHO GMP, ISO 22000",2000,24,https://company83.example.com
Elite Contract 84,Contract Manufacturer,Electronics,"OLED Display, Battery, PCB","Smartphone, Earbuds",3.9,910,Yes,33,500 kg,250 tons/month,Indore,Telangana,"ISO 9001, RoHS, CE, NABL",2004,8,https://company84.example.com
Ultra Contract 85,Contract Manufacturer,Electronics,"PCB, Battery, OLED Display","Smartphone, Earbuds",3.5,194,No,32,1000 kg,5000 pallets,Indore,Madhya Pradesh,"Kosher, FSSAI",2005,12,https://company85.example.com
Core Contract 86,Contract Manufacturer,Electronics,"Battery, PCB, OLED Display","Smartphone, Earbuds",3.6,713,Yes,35,5000 units,100 tons/month,Ahmedabad,Maharashtra,"Kosher, NABL, CE, Halal",2014,2,https://company86.example.com
Core Contract 87,Contract Manufacturer,Cosmetics,"Argan Oil, Aloe Vera, Shampoo Base","Shampoo, Face Wash",4.6,1400,Yes,24,25 kg,250 tons/month,Ahmedabad,Karnataka,"Halal, CE, WHO GMP, RoHS",2022,24,https://company87.example.com
Titan Contract 88,Contract Manufacturer,Furniture,"Plywood, Steel Frame, Foam","Chair, Table",4.4,726,No,28,100 kg,5000 pallets,Bengaluru,Gujarat,"NABL, Halal, RoHS",2020,4,https://company88.example.com
Titan Contract 89,Contract Manufacturer,Pharmaceutical,"Gelatin Capsules, Paracetamol API, MCC","Tablet, Capsule",3.9,752,No,14,100 kg,250 tons/month,Indore,Tamil Nadu,"FSSAI, WHO GMP",1999,1,https://company89.example.com
Titan Contract 90,Contract Manufacturer,Cosmetics,"Shampoo Base, Aloe Vera, Argan Oil","Shampoo, Face Wash",3.6,781,Yes,13,100 kg,5000 pallets,Indore,Maharashtra,"Kosher, ISO 9001, FSSAI, WHO GMP",2016,24,https://company90.example.com
Nova Contract 91,Contract Manufacturer,Pharmaceutical,"MCC, Gelatin Capsules, Paracetamol API","Tablet, Capsule",4.2,643,No,15,250 kg,5000 pallets,Hyderabad,Tamil Nadu,"Halal, NABL, ISO 22000",2021,2,https://company91.example.com
Elite Contract 92,Contract Manufacturer,Furniture,"Plywood, Steel Frame, Foam","Chair, Table",4.1,770,Yes,10,250 kg,50 tons/month,Indore,Maharashtra,"Kosher, WHO GMP, Halal",2008,1,https://company92.example.com
Core Contract 93,Contract Manufacturer,Pharmaceutical,"MCC, Gelatin Capsules, Paracetamol API","Tablet, Capsule",3.5,1038,No,18,500 kg,50 tons/month,Pune,Maharashtra,"RoHS, ISO 22000",2021,24,https://company93.example.com
Ultra Contract 94,Contract Manufacturer,Cosmetics,"Shampoo Base, Aloe Vera, Argan Oil","Shampoo, Face Wash",4.8,977,Yes,33,500 kg,5000 pallets,Ahmedabad,Gujarat,"CE, FSSAI",2021,2,https://company94.example.com
Ultra Contract 95,Contract Manufacturer,Furniture,"Foam, Steel Frame, Plywood","Chair, Table",3.8,259,Yes,18,500 kg,5000 pallets,Hyderabad,Gujarat,"Kosher, ISO 9001",2015,12,https://company95.example.com
Core Contract 96,Contract Manufacturer,Furniture,"Plywood, Foam, Steel Frame","Chair, Table",3.4,732,Yes,29,100 kg,50 tons/month,Chennai,Telangana,"NABL, ISO 9001",2007,8,https://company96.example.com
Elite Contract 97,Contract Manufacturer,Nutraceutical,"Stevia, BCAA, Creatine","Protein Powder, Mass Gainer",3.4,148,No,18,5000 units,50 tons/month,Indore,Karnataka,"RoHS, WHO GMP, ISO 9001, Kosher",2012,4,https://company97.example.com
Elite Contract 98,Contract Manufacturer,Pharmaceutical,"Gelatin Capsules, MCC, Paracetamol API","Tablet, Capsule",3.7,286,Yes,32,25 kg,250 tons/month,Mumbai,Gujarat,"ISO 9001, RoHS",2024,4,https://company98.example.com
Prime Contract 99,Contract Manufacturer,Furniture,"Steel Frame, Foam, Plywood","Chair, Table",4.5,401,No,25,25 kg,250 tons/month,Pune,Gujarat,"Halal, NABL, RoHS",2009,8,https://company99.example.com
Ultra Contract 100,Contract Manufacturer,Cosmetics,"Shampoo Base, Argan Oil, Aloe Vera","Shampoo, Face Wash",4.8,1073,No,8,5000 units,100000 units/month,Ahmedabad,Tamil Nadu,"WHO GMP, CE, NABL, ISO 9001",1997,4,https://company100.example.com
Nova Contract 101,Contract Manufacturer,Cosmetics,"Argan Oil, Aloe Vera, Shampoo Base","Shampoo, Face Wash",4.4,729,No,5,5000 units,250 tons/month,Chennai,Tamil Nadu,"ISO 9001, ISO 22000, RoHS",2015,8,https://company101.example.com
Nova Contract 102,Contract Manufacturer,Cosmetics,"Aloe Vera, Shampoo Base, Argan Oil","Shampoo, Face Wash",4.7,1398,No,5,100 kg,50 tons/month,Mumbai,Madhya Pradesh,"RoHS, Halal, CE",1996,12,https://company102.example.com
Ultra Contract 103,Contract Manufacturer,Pharmaceutical,"Gelatin Capsules, MCC, Paracetamol API","Tablet, Capsule",4.1,167,Yes,26,500 kg,250 tons/month,Bengaluru,Telangana,"ISO 22000, ISO 9001",2018,2,https://company103.example.com
Ultra Contract 104,Contract Manufacturer,Electronics,"Battery, OLED Display, PCB","Smartphone, Earbuds",4.6,1451,No,16,1000 kg,250 tons/month,Bengaluru,Tamil Nadu,"ISO 22000, WHO GMP",2022,1,https://company104.example.com
Elite Contract 105,Contract Manufacturer,Electronics,"PCB, OLED Display, Battery","Smartphone, Earbuds",4.9,664,No,7,1000 kg,5000 pallets,Pune,Telangana,"WHO GMP, RoHS",2011,2,https://company105.example.com
Core Contract 106,Contract Manufacturer,Nutraceutical,"Creatine, Cocoa Powder, Whey Protein Isolate 90%","Protein Powder, Mass Gainer",3.4,1144,No,32,1000 kg,100 tons/month,Chennai,Gujarat,"CE, Halal",2017,24,https://company106.example.com
Titan Contract 107,Contract Manufacturer,Electronics,"Battery, OLED Display, PCB","Smartphone, Earbuds",3.5,659,Yes,31,500 kg,5000 pallets,Pune,Maharashtra,"WHO GMP, NABL, FSSAI, CE",2024,1,https://company107.example.com
Nova Contract 108,Contract Manufacturer,Nutraceutical,"Cocoa Powder, Creatine, Stevia","Protein Powder, Mass Gainer",3.6,1462,Yes,25,1000 kg,250 tons/month,Indore,Gujarat,"FSSAI, CE, ISO 22000",2015,4,https://company108.example.com
Titan Contract 109,Contract Manufacturer,Furniture,"Foam, Plywood, Steel Frame","Chair, Table",4.8,325,Yes,24,1000 kg,50 tons/month,Indore,Gujarat,"ISO 9001, CE",2015,2,https://company109.example.com
Elite Contract 110,Contract Manufacturer,Furniture,"Steel Frame, Plywood, Foam","Chair, Table",4.2,1324,No,33,100 kg,100000 units/month,Pune,Tamil Nadu,"ISO 9001, WHO GMP",2009,8,https://company110.example.com
Titan Contract 111,Contract Manufacturer,Electronics,"OLED Display, PCB, Battery","Smartphone, Earbuds",3.6,1481,No,25,500 kg,100 tons/month,Indore,Telangana,"NABL, ISO 22000, WHO GMP, Kosher",2009,1,https://company111.example.com
